user name	jhellstr																										
information																											
RGA info	QMG220 - 64-D2-41-02-38-BD																										
Active Filament	Filament 1 active																										
Ion Source Type	HIGH SENSITIVITY																										
Emission Current ( IS220-1)	2.000000																										
Protection current (IS220-1)	3.500000																										
RF Polarity	NEGATIVE																										
Ion reference (IS220-1.V01)	150.000000																										
Cathode ( IS220-1.V02)	-65.000000																										
Focus (IS220-1)	-11.000000																										
Field axis (IS220-1.V04)	-7.000000																										
Extraction (IS220-1.V05)	-35.000000																										
SEM STATE	SEM VOLTAGE																										
ON	1000.000000																										
EP1 OFFSET E-05	-0.00000000030521302152																										
EP1 OFFSET E-06	-0.00000000088511781238																										
EP1 OFFSET E-07	-0.00000000000305213038																										
EP1 OFFSET E-08	-0.00000000000885117847																										
EP1 OFFSET E-09	0.00000000000009156391																										
EP1 OFFSET E-10	-0.00000000000003967769																										
EP1 OFFSET E-11	0.00000000000004272983																										
EP1 OFFSET E-12	0.00000000000003616774																										
mass 2_time	mass 2_value	mass 4_time	mass 4_value	mass 14_time	mass 14_value	mass 15_time	mass 15_value	mass 16_time	mass 16_value	mass 18_time	mass 18_value	mass 26_time	mass 26_value	mass 28_time	mass 28_value	mass 39_time	mass 39_value	mass 40_time	mass 40_value	mass 41_time	mass 41_value	mass 44_time	mass 44_value	mass 83_time	mass 83_value	mass 84_time	mass 84_value
2018/08/21 13:44:59	0.00000000133550115411	2018/08/21 13:45:00	0.00000000003951845448	2018/08/21 13:45:01	0.00000000001185479666	2018/08/21 13:45:02	0.00000000001380911878	2018/08/21 13:45:03	0.00000000021457466359	2018/08/21 13:45:04	0.00000000015399788389	2018/08/21 13:45:06	0.00000000000239857765	2018/08/21 13:45:07	0.00000000019412604857	2018/08/21 13:45:08	0.00000000000053601833	2018/08/21 13:45:09	0.00000000000026777937	2018/08/21 13:45:10	0.00000000000028446605	2018/08/21 13:45:11	0.00000000004136004733	2018/08/21 13:45:12	0.00000000000005149021	2018/08/21 13:44:58	0.00000000000004608504
2018/08/21 13:45:14	0.00000000132242450324	2018/08/21 13:45:15	0.00000000004068192658	2018/08/21 13:45:16	0.00000000001182632377	2018/08/21 13:45:17	0.00000000001389975201	2018/08/21 13:45:18	0.00000000021056875688	2018/08/21 13:45:19	0.00000000015023809974	2018/08/21 13:45:20	0.00000000000230441859	2018/08/21 13:45:21	0.00000000019240248283	2018/08/21 13:45:22	0.00000000000048271483	2018/08/21 13:45:23	0.00000000000028821195	2018/08/21 13:45:25	0.00000000000029856740	2018/08/21 13:45:26	0.00000000004091311664	2018/08/21 13:45:27	0.00000000000005938623	2018/08/21 13:45:13	0.00000000000004943554
2018/08/21 13:45:29	0.00000000130986521629	2018/08/21 13:45:30	0.00000000004029256789	2018/08/21 13:45:31	0.00000000001152260232	2018/08/21 13:45:32	0.00000000001350085842	2018/08/21 13:45:33	0.00000000020880668028	2018/08/21 13:45:34	0.00000000014916853863	2018/08/21 13:45:35	0.00000000000245413303	2018/08/21 13:45:36	0.00000000019070532653	2018/08/21 13:45:37	0.00000000000048920346	2018/08/21 13:45:38	0.00000000000026881695	2018/08/21 13:45:39	0.00000000000032685592	2018/08/21 13:45:40	0.00000000003997332673	2018/08/21 13:45:41	0.00000000000004947642	2018/08/21 13:45:28	0.00000000000006819124
2018/08/21 13:45:44	0.00000000129953192651	2018/08/21 13:45:45	0.00000000004133587223	2018/08/21 13:45:46	0.00000000001175701463	2018/08/21 13:45:47	0.00000000001356018856	2018/08/21 13:45:48	0.00000000020736865003	2018/08/21 13:45:49	0.00000000014644983837	2018/08/21 13:45:50	0.00000000000236295445	2018/08/21 13:45:51	0.00000000018848383965	2018/08/21 13:45:52	0.00000000000049285299	2018/08/21 13:45:53	0.00000000000026124315	2018/08/21 13:45:54	0.00000000000031923910	2018/08/21 13:45:55	0.00000000003990932584	2018/08/21 13:45:56	0.00000000000006250063	2018/08/21 13:45:43	0.00000000000005583004
2018/08/21 13:45:58	0.00000000128953348000	2018/08/21 13:45:59	0.00000000003965132389	2018/08/21 13:46:01	0.00000000001174185575	2018/08/21 13:46:02	0.00000000001380506473	2018/08/21 13:46:03	0.00000000020511445320	2018/08/21 13:46:04	0.00000000014558612649	2018/08/21 13:46:05	0.00000000000222214564	2018/08/21 13:46:06	0.00000000018502037402	2018/08/21 13:46:07	0.00000000000051058620	2018/08/21 13:46:08	0.00000000000025930042	2018/08/21 13:46:09	0.00000000000031923910	2018/08/21 13:46:10	0.00000000003971959914	2018/08/21 13:46:11	0.00000000000004907598	2018/08/21 13:45:57	0.00000000000005246338
2018/08/21 13:46:13	0.00000000128276389511	2018/08/21 13:46:14	0.00000000003991770803	2018/08/21 13:46:15	0.00000000001185012592	2018/08/21 13:46:16	0.00000000001342593831	2018/08/21 13:46:17	0.00000000020561607972	2018/08/21 13:46:19	0.00000000014332160458	2018/08/21 13:46:19	0.00000000000237857217	2018/08/21 13:46:21	0.00000000018511908673	2018/08/21 13:46:22	0.00000000000046461646	2018/08/21 13:46:23	0.00000000000031010486	2018/08/21 13:46:24	0.00000000000030061706	2018/08/21 13:46:25	0.00000000003887355368	2018/08/21 13:46:26	0.00000000000006337854	2018/08/21 13:46:12	0.00000000000005544529
2018/08/21 13:46:29	0.00000000127841670583	2018/08/21 13:46:30	0.00000000000000000000	2018/08/21 13:46:30	0.00000000000000000000	2018/08/21 13:48:51	0.00000000001310800080	2018/08/21 13:48:52	0.00000000019867979484	2018/08/21 13:48:53	0.00000000013340890892	2018/08/21 13:48:54	0.00000000000238132300	2018/08/21 13:48:55	0.00000000017751716763	2018/08/21 13:48:56	0.00000000000044648413	2018/08/21 13:48:58	0.00000000000024706837	2018/08/21 13:48:59	0.00000000000032286432	2018/08/21 13:49:00	0.00000000003648327473	2018/08/21 13:49:01	0.00000000000006524460	2018/08/21 13:46:27	0.00000000000005866854
2018/08/21 13:49:03	0.00000000126493859831	2018/08/21 13:48:49	0.00000000004007310456	2018/08/21 13:48:50	0.00000000001161073928	2018/08/21 13:49:06	0.00000000001292181813	2018/08/21 13:49:07	0.00000000019654315675	2018/08/21 13:49:08	0.00000000013134646148	2018/08/21 13:49:09	0.00000000000223029993	2018/08/21 13:49:10	0.00000000017686103970	2018/08/21 13:49:11	0.00000000000042369198	2018/08/21 13:49:12	0.00000000000027968448	2018/08/21 13:49:14	0.00000000000030280802	2018/08/21 13:49:14	0.00000000003622693465	2018/08/21 13:49:15	0.00000000000005339294	2018/08/21 13:49:02	0.00000000000006027470
2018/08/21 13:49:18	0.00000000126072652318	2018/08/21 13:49:04	0.00000000004011417587	2018/08/21 13:49:05	0.00000000001127323495	2018/08/21 13:49:21	0.00000000001281830805	2018/08/21 13:49:22	0.00000000019399723494	2018/08/21 13:49:23	0.00000000013020208522	2018/08/21 13:49:24	0.00000000000216056036	2018/08/21 13:49:25	0.00000000017494873605	2018/08/21 13:49:26	0.00000000000046980941	2018/08/21 13:49:27	0.00000000000021444385	2018/08/21 13:49:28	0.00000000000030133995	2018/08/21 13:49:29	0.00000000003603744039	2018/08/21 13:49:30	0.00000000000005897021	2018/08/21 13:49:17	0.00000000000005324687
2018/08/21 13:49:33	0.00000000125403587514	2018/08/21 13:49:19	0.00000000003987956840	2018/08/21 13:49:20	0.00000000001079930069	2018/08/21 13:49:36	0.00000000001296587143	2018/08/21 13:49:37	0.00000000019197493595	2018/08/21 13:49:38	0.00000000012896560209	2018/08/21 13:49:39	0.00000000000213108546	2018/08/21 13:49:40	0.00000000017205013803	2018/08/21 13:49:41	0.00000000000047444530	2018/08/21 13:49:42	0.00000000000023806941	2018/08/21 13:49:43	0.00000000000034775961	2018/08/21 13:49:44	0.00000000003629839831	2018/08/21 13:49:45	0.00000000000005747207	2018/08/21 13:49:31	0.00000000000006547057
