57,scans,176,DataLength,,,,,,,,,
header,30,lines,,,,,,,,,,
Date,30/10/2018,Time,09:42:54,,,,,,,,,
ID,HAL RC RGA 101 #15453,Version,3,,,,,,,,,
Scans,11,,,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM,,
Scan 1,RGA,SEM,mass,2,2,0.01,100.00%,100.00%,1,1,,
Scan 2,RGA,SEM,mass,4,4,0.01,100.00%,100.00%,1,1,,
Scan 3,RGA,SEM,mass,12,12,0.01,100.00%,100.00%,1,1,,
Scan 4,RGA,SEM,mass,14,14,0.01,100.00%,100.00%,1,1,,
Scan 5,RGA,SEM,mass,15,15,0.01,100.00%,100.00%,1,1,,
Scan 6,RGA,SEM,mass,16,16,0.01,100.00%,100.00%,1,1,,
Scan 7,RGA,SEM,mass,18,18,0.01,100.00%,100.00%,1,1,,
Scan 8,RGA,SEM,mass,28,28,0.01,100.00%,100.00%,1,1,,
Scan 9,RGA,SEM,mass,32,32,0.01,100.00%,100.00%,1,1,,
Scan 10,RGA,SEM,mass,40,40,0.01,100.00%,100.00%,1,1,,
Scan 11,RGA,SEM,mass,44,44,0.01,100.00%,100.00%,1,1,,
Environment,,,,,,,,,,,,
Global,RGA,,,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,,,
00:13:50,830541,1.94E-08,4.75E-14,1.86E-11,7.40E-12,3.77E-11,5.36E-11,1.03E-11,3.84E-10,3.58E-14,1.04E-13,5.43E-11
00:14:33,873008,1.95E-08,5.33E-14,1.91E-11,7.41E-12,3.85E-11,5.43E-11,1.05E-11,3.91E-10,4.57E-14,1.09E-13,5.50E-11
00:15:15,915476,1.97E-08,4.70E-14,1.91E-11,7.59E-12,3.85E-11,5.57E-11,1.05E-11,3.99E-10,4.38E-14,1.02E-13,5.47E-11
00:15:57,957945,1.98E-08,5.89E-14,1.96E-11,7.73E-12,4.01E-11,5.65E-11,1.08E-11,4.06E-10,4.60E-14,2.18E-13,5.58E-11
00:16:36,996663,1.99E-08,5.43E-14,1.97E-11,7.90E-12,4.02E-11,5.76E-11,1.06E-11,4.10E-10,4.31E-14,2.16E-13,5.62E-11
00:17:15,1035380,2.00E-08,5.27E-14,2.00E-11,8.04E-12,4.14E-11,5.90E-11,1.05E-11,4.16E-10,3.90E-14,2.33E-13,5.74E-11
00:17:54,1074098,2.01E-08,5.87E-14,2.04E-11,8.11E-12,4.17E-11,5.99E-11,1.04E-11,4.24E-10,4.05E-14,2.35E-13,5.75E-11
00:18:32,1112816,2.02E-08,5.86E-14,2.01E-11,8.28E-12,4.20E-11,6.06E-11,1.08E-11,4.27E-10,5.05E-14,2.29E-13,5.83E-11
00:19:11,1151533,2.03E-08,6.24E-14,2.13E-11,8.31E-12,4.28E-11,6.12E-11,1.09E-11,4.33E-10,4.99E-14,2.40E-13,5.78E-11
00:19:50,1190181,2.04E-08,6.05E-14,2.14E-11,8.50E-12,4.39E-11,6.23E-11,1.07E-11,4.37E-10,3.68E-14,2.41E-13,5.88E-11
