1993,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,23/07/2018,Time,13:47:01,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28242,5.25,6.99E-13,,,,,,
1,00:00:28,28242,5.3,8.06E-13,,,,,,
1,00:00:28,28242,5.35,9.41E-13,,,,,,
1,00:00:28,28242,5.4,5.38E-13,,,,,,
1,00:00:28,28242,5.45,4.84E-13,,,,,,
1,00:00:28,28242,5.5,8.87E-13,,,,,,
1,00:00:28,28242,5.55,6.18E-13,,,,,,
1,00:00:28,28242,5.6,3.23E-13,,,,,,
1,00:00:28,28242,5.65,4.57E-13,,,,,,
1,00:00:28,28242,5.7,8.06E-13,,,,,,
1,00:00:28,28242,5.75,6.45E-13,,,,,,
1,00:00:28,28242,5.8,6.45E-13,,,,,,
1,00:00:28,28242,5.85,8.06E-13,,,,,,
1,00:00:28,28242,5.9,6.45E-13,,,,,,
1,00:00:28,28242,5.95,9.41E-13,,,,,,
1,00:00:28,28242,6,8.60E-13,,,,,,
1,00:00:28,28242,6.05,5.64E-13,,,,,,
1,00:00:28,28242,6.1,8.87E-13,,,,,,
1,00:00:28,28242,6.15,7.79E-13,,,,,,
1,00:00:28,28242,6.2,8.60E-13,,,,,,
1,00:00:28,28242,6.25,8.33E-13,,,,,,
1,00:00:28,28242,6.3,3.23E-13,,,,,,
1,00:00:28,28242,6.35,6.99E-13,,,,,,
1,00:00:28,28242,6.4,5.38E-13,,,,,,
1,00:00:28,28242,6.45,8.60E-13,,,,,,
1,00:00:28,28242,6.5,9.41E-13,,,,,,
1,00:00:28,28242,6.55,7.53E-13,,,,,,
1,00:00:28,28242,6.6,5.11E-13,,,,,,
1,00:00:28,28242,6.65,6.45E-13,,,,,,
1,00:00:28,28242,6.7,6.18E-13,,,,,,
