,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,15/05/2018,Time,10:54:05,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28602,5.2,1.08E-13,,,,,,
1,00:00:28,28602,5.25,8.06E-14,,,,,,
1,00:00:28,28602,5.3,5.38E-14,,,,,,
1,00:00:28,28602,5.35,1.88E-13,,,,,,
1,00:00:28,28602,5.4,0.00E+00,,,,,,
1,00:00:28,28602,5.45,2.15E-13,,,,,,
1,00:00:28,28602,5.5,1.61E-13,,,,,,
1,00:00:28,28602,5.55,2.69E-14,,,,,,
1,00:00:28,28602,5.6,-2.69E-14,,,,,,
1,00:00:28,28602,5.65,-2.42E-13,,,,,,
1,00:00:28,28602,5.7,1.61E-13,,,,,,
1,00:00:28,28602,5.75,5.38E-14,,,,,,
1,00:00:28,28602,5.8,3.76E-13,,,,,,
1,00:00:28,28602,5.85,5.38E-13,,,,,,
1,00:00:28,28602,5.9,6.18E-13,,,,,,
1,00:00:28,28602,5.95,4.84E-13,,,,,,
1,00:00:28,28602,6,6.99E-13,,,,,,
1,00:00:28,28602,6.05,4.30E-13,,,,,,
1,00:00:28,28602,6.1,2.96E-13,,,,,,
1,00:00:28,28602,6.15,4.30E-13,,,,,,
1,00:00:28,28602,6.2,7.79E-13,,,,,,
1,00:00:28,28602,6.25,4.84E-13,,,,,,
1,00:00:28,28602,6.3,8.06E-14,,,,,,
1,00:00:28,28602,6.35,5.11E-13,,,,,,
1,00:00:28,28602,6.4,-2.15E-13,,,,,,
1,00:00:28,28602,6.45,1.34E-13,,,,,,
1,00:00:28,28602,6.5,1.34E-13,,,,,,
